P%,IPA_Avg_64,STD_64,IPA_Avg_1024,STD_1024,IPA_Avg_60000,STD_60000
0.0,0.049649164612316804,0.04011741233357213,0.08437220909836501,0.18035251362814758,0.07161961292981826,0.004520746906923487
10.0,0.07689063262308646,0.1932672509688931,0.07794471880181163,0.10973475023075263,0.06458787437866713,0.0028726660816396814
20.0,0.04553269953001911,0.05382360262896967,0.07504552379047537,0.10042454906298806,0.057656916681770254,0.0017735201817430204
30.0,0.06583483875937388,0.18236064325464707,0.06196770147824437,0.07533706961721107,0.050828448094203116,0.0021920993836184997
40.0,0.04189110188269358,0.05514095326106333,0.09492320223065168,0.21232289444490154,0.04418662182370069,0.0018363624359533377
50.0,0.032319321732771106,0.0524189192853983,0.057920667414181864,0.11382712646615646,0.03874477817073479,0.015918323575450935
60.0,0.016438448077437856,0.0022344574817288825,0.0674875140621004,0.1257728376627354,0.03318432526874604,0.0330838604312565
70.0,0.012730921918962775,0.007913570392237258,0.06537514604785029,0.14280401929994213,0.05142219285007446,0.08825898395194554
80.0,0.007068215275836767,0.0010840298573543887,0.03125068031124648,0.16909136898465732,0.041950567034930254,0.07630717473537056
82.0,0.006050156741130639,0.0008373712135218935,0.011218248032317676,0.001660137289439463,0.021447084115392173,0.038843413031026564
84.0,0.005088785442532652,0.0009582691395592718,0.009492776956701315,0.0013258253799030516,0.010812055964544346,0.0018780577899717337
86.0,0.004210496317506908,0.001008140460376043,0.007787879366743074,0.0011591370083340413,0.00903353971652302,0.0013357366728587888
88.0,0.0031675963951886543,0.0008037968491166137,0.006181034251919227,0.001095693503462269,0.0072141230402995365,0.0011665614813954471
90.0,0.0021709590656410803,0.0005822124155050324,0.004594643173366622,0.000672081115313994,0.00554794315105207,0.0014118394908457644
92.0,0.006704665748609163,0.010475109279682548,0.0032130095282652685,0.000810147862424402,0.003351632258324622,0.0007670711746703964
94.0,0.014498278732696067,0.00988116385226626,0.0016481469479186896,0.00036215318718674954,0.001852186828563901,0.00035538615918028616
96.0,0.012566505364504243,0.006044395360523662,0.006871967163501691,0.007601935838402693,0.003567213379820867,0.005954154517025481
98.0,0.0058245656839374,0.0034444663832947637,0.007254679943325681,0.003701416159180983,0.007132730696283133,0.003974257666046153
100.0,,,,,,
